名称,标签
2021虎扑 男性消费洞察报告,他经济
凯络 95 后女性人群洞察与媒体消费趋势,95后
2021男性消费洞察报告,他经济
2021年空巢青年研究报告,Z时代
Z世代汽车观洞察报告,Z时代
向美新生——2023 中国女子护肤消费图鉴,品质女性
中国消费者兴趣圈层全景图,兴趣圈层
2021颜值经济新消费报告,品质女性
卖货成交图谱,渠道传播
2021 精致妈妈生活及消费趋势洞察,精致妈妈
【发现报告-库润数据-iSlide】后疫情时代求职变化洞察【发现报告 fxbaogao.com】,职场人群
中国Z世代时尚消费报告,Z时代
年轻人生活消费观察-萌宠依赖篇,宠物
微信私域运营实战指南,渠道传播
《2021 滑雪圈层营销报告》,户外健康
企鹅有调 银发人群用网情况社会调查（完整版）,银发人群
电通 2022 解码 Z 世代,Z时代
《新势增长：2022年Twitter全球电商洞察报告》,渠道传播
线上运动健身报告-克劳锐出品,户外健康
2020年一二线城市银发族数字化生活洞察报告,银发人群
2021中国泛知识付费行业报告-巨量算数&创业邦-2021年12月,职场人群
95 后年轻人注意力洞察报告,Z时代
小众文化及兴趣圈层调研,兴趣圈层
2021年男颜经济研究报告,他经济
私域流量运营知识地图,渠道传播
第48次中国互联网络发展状况统计报告,整合传播
第47次《中国互联网络发展状况统计报告》,整合传播
中国奢侈品市场数字化趋势洞察报告,他经济
Z世代文娱内容消费研究,Z时代
B站 尼尔森IQ《2021Z世代食品饮料消费洞察报告》,Z时代
20201 淘宝直播男性消费报告,他经济
2022抖音电商商品发展报告,渠道传播
中国Z世代的真相 麦肯,Z时代
益普索男士护肤理容市场洞察,他经济
小红书10月教育行业月报,渠道传播
【秒针】中国消费者兴趣圈层白皮书-2023年第1版,兴趣圈层
2021年年轻用户群体内容消费分析报告-克劳锐出品,Z时代
00 后生活方式洞察报告,Z时代
《关于中国Z世代的真相》,Z时代
中国在线幼儿启蒙英语行业白皮书,精致妈妈
京东居家✖️场景实验室2023居家消费新趋势,家具家居
微播易营销智库-母婴品牌社媒营销解决方案,精致妈妈
2021抖音银龄社会责任报告,银发人群
新消费品牌从0到1 “168”引爆方法论1.0-水印版,整合传播
QM 2021 儿童经济洞察报告,精致妈妈
远见-2022年巨量算数年度观察报告,渠道传播
【OneSight白皮书】破解社交媒体营销密码（完整版）,渠道传播
艾瑞咨询：2021年中国网络招聘平台品牌“破圈”营销洞察白皮书,职场人群
2021巨量引擎母婴行业白皮书,精致妈妈
【SocialBeta出品】2021-22 年节日营销趋势报告,整合传播
老年人数字生活报告,银发人群
解码中国 Z 世代的文化价值观,Z时代
2022抖音电商这一年,渠道传播
2021女性品质生活趋势洞察报告 | CBNData,品质女性
2023巨量引擎宠物行业白皮书,宠物
2022_疫情下的消费洞察苟住从新出发,整合传播
阿里妈妈奢侈品线上消费圈层洞察,他经济
Z世代男性美颜趋势报告,他经济
2021 天猫国际母婴小童市场趋势报告,精致妈妈
2022中国百大兴趣族群图鉴,兴趣圈层
QM 母婴行业品牌营销洞察报告,精致妈妈
【红杉资本】红杉美国最新52页PPT分享，警告严峻考验的时刻到来,整合传播
凯络 95 后女性人群洞察与媒体消费趋势,品质女性
尼尔森《2021母婴行业洞察报告》,精致妈妈
《2021年度私域经营洞察报告》,渠道传播
中国年轻人文化圈层全景_青年志,Z时代
《2021母婴行业洞察报告》,精致妈妈
七大群体塑造中国消费格局 麦肯锡,银发人群
2023年节日营销趋势报告,整合传播
艾瑞咨询：后疫情时代大学生求职者洞察报告,职场人群
Mob研究院-2021年银发经济洞察报告,银发人群
艾瑞咨询：后疫情时代大学生求职者洞察报告,职场人群
2021 95 后女性人群洞察与媒体消费趋势前瞻,精致妈妈
《内容生态搜索趋势研究报告》,渠道传播
圈层营销PLAYBOOK_青年志圈层营销方法论2021,Z时代
QuestMobile 2021 银发经济洞察报告,银发人群
